index,company,challenge,category,region
1,睿创微纳,如果你加入睿创微纳做一款低空探测雷达，如何利用 AI 提供优化目前雷达多目标智能探测与识别的方案？,AI + 研发创新,华东企业
2,赛力斯集团,如果你加入赛力斯超级工厂团队，你如何打造一名会主动管控设备质量风险的 AI数字员工？,AI + 生产制造,华西企业
3,鹏飞集团,面向能源行业校招，如何用 AI 打造更懂学生的雇主品牌传播？,AI + 综合领域,华北企业
4,视源股份,"希沃智教π：打造一款Al智能作业批改系统，可实现多学科作业的自动批改、个性化评语、知识点薄弱分析等，真正做到\""每个学生都被认真对待\""。",AI + 客户体验,华南企业
5,野人先生,如果你加入野人先生负责设备维修团队，如何以AI 数字化为核心，打通门店、维修部、设备供应商三方数据链路，实现报修信息实时同步，缩短故障处置周期,AI + 营销推广,华北企业
6,渝欧数智,"如果给你一家电商店铺、一条全球供应链和一套AI工具，你会怎么做到\""一人经营，好物到家\""？",AI + 综合领域,华西企业
7,泰兰尼斯,如果你加入泰兰尼斯门店销售管理运营团队，你会如何借助 AI 帮助泰兰尼斯培养金牌销售？,AI + 营销推广,华东企业
8,金仕达,如果你加入金仕达 AI 产品创新团队，你会如何打造下一代智能化的金融投研与财富助手？,AI + 综合领域,华东企业
9,美迈科技,如果让你用 AI能力帮公司找到下一个爆品，你会怎么做？,AI + 综合领域,华南企业
10,东明石化,如果你加入东明石化的营销团队，你会如何为加油站客户提供千人千面的消费行为预测与精准营销策略。,AI + 营销推广,华北企业
11,瓶子星球,AI赋能品牌新叙事：当下时代，梅见何以成为独一无二的梅见？,AI + 营销推广,华西企业
12,书亦烧仙草,如果你加入书亦团队，你会如何借助AI深入消费者洞察并且建立爆品塑造全流程，预测并打造下一杯现象级爆款茶饮？,AI + 综合领域,华西企业
13,仙工智能,如果你加入仙工智能，你会如何基于 AI 模型研发“工业场景分拣配送一体化人形机器人”？,AI + 研发创新,华东企业
14,时宜品牌,AI驱动的短视频内容工厂:面向除甲醛品类的AIGC脚本与视频内容生成,AI + 营销推广,华东企业
15,钱海网络,如果你是 OP 商户成功团队，你会如何用 AI 帮跨境商户少踩坑？,AI + 客户体验,华南企业
16,世纪阳光纸业,《面向造纸行业的原材料采购智能决策系统》 如果请你来解决造纸行业原材料采购决策问题，你会如何借助AI让采购管理决策更科学高效。,AI + 产业协同,华北企业
17,松延动力,假如你是松延动力的数据采集工程师，你会如何借助AI提高人形机器人数据采集速率与质量？,AI + 产业协同,华北企业
18,明珞股份,AI + 物料全过程跟踪：如何让跨厂区、跨关务、跨海运的物料进度实时可见？,AI + 生产制造,华南企业
19,华图教育,如果请你来华图做一名职业规划师，你如何运用AI帮助数千万大学生探索不同成长轨迹，实现高质量就业,AI + 综合领域,华北企业
20,天鹅到家,如果你来设计天鹅到家的「AI 家政匹配中枢」，你会如何借助 AI 让每一个家庭找到最合适的服务者？,AI + 客户体验,华北企业
21,果卡科技,如果你是标果工厂的 AI 供应链官，如何用 AI 让每颗水果「鲜到店、不烂仓」？,AI + 产业协同,华西企业
22,海辰储能,请你化身海辰储能的电芯与AI的双料专家，打造「AI驱动的电芯寿命预测引擎」，基于有限数据实现高精度预测，全面赋能海辰产品研发与市场运营。,AI + 研发创新,华南企业
23,特步中国,如果你加入特步数字化团队，你如何打造“门店鞋服智能搭配、智能导购推介、终端运营工作效率监控“的 AI 数字员工？,AI + 营销推广,华东企业
24,八马茶业,"中国茶是千年非遗传承工艺，但大部分人面对一杯茶往往只能说出\""好喝\""或\""不好喝\""——如何用 AI工具让中国茶 \""说不清\"" 成为 \""说得清、喝得懂、传得开\""？",AI + 营销推广,华南企业
25,九洲集团,如果你来负责九洲内部人才选拔，你会如何用AI挖掘“隐形人才”，实现人岗智能匹配？,AI + 综合领域,华西企业
26,去哪儿,继淄博、天水、哈尔滨之后——你会如何用 AI 抢在热搜之前，预测出下一座爆火的小城？,AI + 研发创新,华北企业
27,元气森林,卓越的你+元气森林爆款方法轮+AI，从0到1，打造一款击中Z世代的新饮品,AI + 研发创新,华北企业
28,米连,如果你加入米连产品团队，会如何借助并结合AI，做出有全球影响力的AI+社交/游戏产品？,AI + 研发创新,华北企业
29,利欧集团,"如果你加入利欧的智能运维团队，你会如何借助 AI 构建一套水泵设备的「智慧预测与健康管理」系统，让每一台泵都能\""说话\""？",AI + 生产制造,华东企业
30,东方雨虹,如果你加入东方雨虹零售团队，如何借助飞书AI打造零售门店智慧运营助手？可围绕门店巡检、AI 导购、门店高效运营、私域客户维护方向落地,AI + 营销推广,华北企业
31,神州数码,如果你加入神州数码的数字化转型团队，你会如何借助AI在限定时间内搭建出让客户拍案叫绝的解决方案?,AI + 客户体验,华北企业
32,和睦家医疗,假如你来设计一套「医生 AI Copilot」，你会如何打造贯穿医生诊前诊后的连续照护闭环？,AI + 研发创新,华北企业
33,中科创达,"如果你加入晓悟智能具身智能团队，你会如何借助 AI，让一台人形机器人走出实验室 demo、走进真实工厂量产\""干活\""？",AI + 研发创新,华北企业
34,影石创新,如果你加入影石的全球达人营销团队，你会如何借助AI，从海量运动户外创作者中找到下一个能引爆单品的人?,AI + 营销推广,华南企业
35,上汽集团,"如果你加入上汽乘用车的产品定义团队，你会如何借助 AI 构建一套\""懂用户\""的智能洞察引擎，让每一款新车从立项起就精准命中目标人群？",AI + 生产制造,华东企业
36,正大天晴,如果你是正大天晴研发新人，你会如何借助 AI 快速读懂一个肿瘤靶点？,AI + 研发创新,华东企业
37,TCL华星,车载显示头碰安全的AI仿真预测模型研究,AI + 生产制造,华南企业
38,顾诺,如果你是顾诺家清的内容负责人，你会搭建一套什么样的 AI 内容生产流水线，让一个人顶一个团队，持续产出抖音爆款短视频？,AI + 营销推广,华南企业
